ID,Financial Stability & Creditworthiness,Payment Performance,Order Volume & Growth Potential,Demand Stability & Predictability,Responsiveness & Collaboration,Compliance & Regulatory Standards,Technical Sophistication & Systems Integration,Market Reputation & Brand Impact,Long-Term Strategic Value
BUY-001,9,5,4,4,6,5,6,2,8
BUY-002,4,9,5,7,2,1,5,5,8
BUY-003,7,4,1,2,2,1,3,7,1
BUY-004,10,6,2,4,8,9,4,5,2
BUY-005,8,4,1,10,10,9,3,4,9
BUY-006,6,9,7,3,9,3,4,6,8
BUY-007,7,2,2,6,2,7,2,7,1
BUY-008,10,2,10,5,3,10,7,5,8
BUY-009,3,6,9,9,5,6,3,7,10
BUY-010,10,8,4,7,8,9,7,2,1
BUY-011,10,1,10,9,9,8,7,7,1
BUY-012,6,8,2,7,8,2,7,7,3
BUY-013,3,3,10,2,1,8,3,4,8
BUY-014,10,9,2,5,2,3,4,4,8
BUY-015,1,8,9,1,5,1,6,6,10
BUY-016,3,7,7,1,5,6,4,4,10
BUY-017,8,6,7,10,4,10,6,2,7
BUY-018,1,4,4,10,5,9,10,9,9
BUY-019,9,1,4,9,5,6,10,7,8
BUY-020,7,6,9,10,6,5,9,5,7
BUY-021,1,3,9,2,10,2,10,2,3
BUY-022,6,7,7,3,4,10,3,9,10
BUY-023,8,1,8,9,8,2,2,3,3
BUY-024,7,4,8,10,10,1,6,9,9
BUY-025,2,7,3,1,9,4,1,8,4
BUY-026,4,7,10,5,5,1,9,3,5
BUY-027,10,6,3,8,9,6,8,7,6
BUY-028,9,7,10,8,4,6,6,7,10
BUY-029,4,7,3,3,2,9,10,6,2
BUY-030,10,9,10,6,1,2,5,9,9
BUY-031,7,9,2,1,7,1,7,9,8
BUY-032,5,1,9,5,7,10,6,5,10
BUY-033,6,1,5,3,9,3,7,5,9
BUY-034,8,3,1,4,8,4,6,4,10
BUY-035,10,8,10,5,9,10,8,9,7
BUY-036,8,8,5,5,1,4,10,8,6
BUY-037,2,7,5,1,9,7,3,6,4
BUY-038,10,5,5,4,10,2,6,9,9
BUY-039,5,4,2,1,3,8,8,2,9
BUY-040,1,8,9,10,5,6,7,9,2
BUY-041,4,7,9,2,9,10,4,7,10
BUY-042,10,8,7,3,4,4,1,4,7
BUY-043,10,7,9,2,6,4,3,4,4
BUY-044,2,6,1,9,8,4,2,2,10
BUY-045,7,5,8,8,6,10,7,7,5
BUY-046,10,4,8,7,3,2,9,1,8
BUY-047,8,5,7,6,1,4,6,9,7
BUY-048,5,6,10,7,3,10,2,1,2
BUY-049,6,7,8,8,4,8,9,3,7
BUY-050,2,9,7,10,9,1,6,9,3
BUY-051,2,1,1,9,10,10,1,4,5
BUY-052,10,3,2,7,3,3,7,3,7
BUY-053,5,8,3,8,9,5,7,5,6
BUY-054,9,1,5,8,10,10,8,9,3
BUY-055,4,1,7,6,1,4,3,9,4
BUY-056,1,6,6,7,3,9,6,7,3
BUY-057,9,10,5,3,5,9,6,4,10
BUY-058,1,7,9,4,9,10,3,8,2
BUY-059,5,2,9,10,6,3,6,8,10
BUY-060,7,2,8,9,9,9,9,7,8
BUY-061,4,4,3,3,9,5,6,5,9
BUY-062,8,10,10,7,10,4,4,9,9
BUY-063,5,7,2,10,4,7,9,2,10
BUY-064,4,2,6,3,2,5,2,1,3
BUY-065,9,8,6,8,7,3,6,4,6
BUY-066,2,7,3,6,2,10,1,7,8
BUY-067,3,4,2,8,2,3,3,8,2
BUY-068,9,9,9,3,1,6,5,2,7
BUY-069,4,4,2,10,5,9,4,6,2
BUY-070,3,7,6,8,1,4,3,10,6
BUY-071,10,3,9,6,9,6,9,7,3
BUY-072,8,8,7,8,2,7,10,8,4
BUY-073,6,4,1,8,10,8,10,7,6
BUY-074,5,2,7,7,5,1,9,8,4
BUY-075,2,5,9,6,9,10,3,2,2
BUY-076,4,1,9,3,5,9,5,7,7
BUY-077,5,2,4,1,9,6,2,3,6
BUY-078,7,4,1,10,8,10,1,6,6
BUY-079,6,7,8,6,6,9,4,10,4
BUY-080,6,7,9,8,8,2,1,10,4
BUY-081,10,3,8,2,5,8,7,1,4
BUY-082,6,7,10,4,3,10,8,8,9
BUY-083,6,5,3,2,9,9,6,7,6
BUY-084,7,3,10,6,5,1,7,7,8
BUY-085,1,4,3,1,3,10,1,7,7
BUY-086,6,8,8,7,5,6,10,8,1
BUY-087,1,6,4,5,10,2,2,7,7
BUY-088,4,9,10,8,5,9,4,7,2
BUY-089,9,9,4,10,1,5,5,1,2
BUY-090,6,1,6,1,9,5,4,3,9
BUY-091,5,6,2,5,3,9,9,9,8
BUY-092,1,3,8,9,10,2,7,5,1
BUY-093,7,6,3,5,3,9,3,10,2
BUY-094,9,9,2,5,4,8,6,2,5
BUY-095,1,4,8,5,3,3,5,3,3
BUY-096,3,5,10,10,5,8,1,5,3
BUY-097,6,4,5,3,3,4,4,7,10
BUY-098,5,7,10,4,9,9,5,4,8
BUY-099,10,9,3,1,9,10,5,2,1
BUY-100,8,6,3,1,1,8,4,8,6
