Supplier_ID,Quality_Score,Delivery_Rating,Cost_Competitiveness,Financial_Health,Technical_Capacity,ESG_Compliance,ERP_Integration,Track_Record
SUP-001,8.2,9.1,4.4,6.7,8.8,6.6,8.3,4.3
SUP-002,7.7,7.7,6.5,7.3,8.7,7.6,5.6,5.9
SUP-003,7.3,8.0,5.8,6.5,6.9,8.1,6.6,6.0
SUP-004,9.6,8.6,4.0,7.1,9.0,10.0,6.6,6.9
SUP-005,6.3,7.3,6.2,5.2,5.2,9.1,5.7,3.3
SUP-006,6.4,7.0,6.5,7.8,5.6,7.2,4.4,7.2
SUP-007,9.1,10.0,3.3,7.5,10.0,9.0,7.0,1.0
SUP-008,7.7,8.8,3.9,6.5,9.0,7.0,6.4,4.7
SUP-009,6.3,7.3,6.2,8.3,5.0,9.6,7.3,5.0
SUP-010,7.4,7.3,3.7,8.6,6.1,8.0,5.7,7.3
SUP-011,6.4,7.6,7.4,5.6,6.9,8.4,8.3,6.0
SUP-012,6.3,6.5,6.5,6.6,6.8,9.8,5.2,3.2
SUP-013,7.2,9.4,6.2,6.6,7.8,7.2,9.1,4.0
SUP-014,3.7,3.4,9.8,6.4,3.4,7.1,3.9,6.4
SUP-015,4.1,6.1,7.8,8.5,4.0,7.9,7.2,5.8
SUP-016,6.5,6.4,6.5,7.3,6.9,9.5,7.2,4.8
SUP-017,5.7,4.8,5.4,7.2,5.8,7.0,5.3,5.0
SUP-018,7.0,7.0,4.8,5.1,4.8,5.7,7.1,7.4
SUP-019,5.7,5.3,7.8,8.3,5.5,8.0,8.4,5.0
SUP-020,5.3,5.3,5.5,6.0,4.4,9.1,3.2,5.8
SUP-021,8.4,9.7,2.9,7.6,8.5,9.7,7.3,10.0
SUP-022,6.9,6.1,5.4,7.8,9.9,8.0,2.8,3.2
SUP-023,6.8,7.1,5.9,9.1,7.1,8.1,5.1,2.3
SUP-024,5.1,7.0,8.3,5.9,4.8,9.7,8.9,7.6
SUP-025,5.8,7.9,6.7,3.9,6.7,6.6,5.6,4.6
SUP-026,6.3,7.6,4.5,7.7,6.7,8.1,4.7,5.4
SUP-027,4.5,5.3,5.2,9.7,4.9,8.7,6.2,4.4
SUP-028,7.6,7.7,3.8,9.0,8.2,8.9,9.6,5.5
SUP-029,6.2,6.7,6.9,7.8,8.3,8.0,3.8,9.2
SUP-030,6.1,5.5,7.2,6.9,5.0,8.5,4.9,7.6
SUP-031,6.4,5.8,6.3,8.5,6.9,6.0,8.7,7.7
SUP-032,8.9,8.1,5.4,6.3,8.0,7.8,9.3,3.2
SUP-033,6.9,7.4,5.4,8.1,7.5,9.0,6.3,3.7
SUP-034,4.8,6.1,7.1,8.1,3.9,7.5,4.6,1.0
SUP-035,7.9,7.8,5.3,8.8,7.5,8.6,9.6,4.4
SUP-036,5.2,6.7,8.7,10.0,4.9,8.9,8.9,7.9
SUP-037,6.9,6.1,5.0,8.0,7.9,8.2,7.5,7.0
SUP-038,3.9,2.6,8.5,6.9,4.8,8.7,5.3,5.6
SUP-039,5.5,5.2,8.4,7.5,4.3,7.5,6.4,6.0
SUP-040,7.0,8.3,8.4,5.4,7.1,8.3,6.3,4.6
SUP-041,8.5,9.8,4.9,6.7,7.8,9.1,7.0,6.4
SUP-042,6.7,6.8,3.8,7.0,5.4,8.7,8.7,7.5
SUP-043,7.1,7.9,4.2,6.9,6.9,7.9,7.8,2.8
SUP-044,7.3,6.5,6.5,7.7,7.0,8.7,4.9,6.6
SUP-045,3.5,4.6,8.0,6.5,6.0,9.2,8.6,7.9
SUP-046,5.5,6.8,6.1,8.8,6.0,6.5,7.0,5.2
SUP-047,6.6,7.0,7.3,7.5,5.2,9.7,7.5,7.4
SUP-048,8.5,7.0,4.3,7.5,7.9,8.2,8.7,10.0
SUP-049,7.7,9.0,4.6,7.1,8.7,8.9,4.8,5.8
SUP-050,4.1,5.7,6.5,7.7,6.1,9.7,6.4,6.8
SUP-051,7.5,6.9,5.5,8.5,5.9,7.1,5.7,4.5
SUP-052,6.3,6.8,6.4,6.5,4.5,7.8,4.1,6.4
SUP-053,6.6,6.5,7.4,6.7,8.4,8.2,7.0,6.9
SUP-054,8.0,8.2,5.9,7.1,8.4,7.7,10.0,6.4
SUP-055,8.7,8.0,4.8,5.9,7.8,10.0,3.7,4.0
SUP-056,8.2,7.7,4.3,6.5,8.7,7.6,6.5,6.4
SUP-057,5.5,5.7,5.8,6.9,2.9,7.9,7.5,8.9
SUP-058,6.3,7.7,6.9,8.5,6.3,8.7,6.7,6.9
SUP-059,7.7,8.0,3.9,7.8,8.0,7.3,6.3,7.9
SUP-060,8.3,8.1,4.9,7.7,9.2,8.1,4.6,5.5
SUP-061,6.4,7.1,6.3,8.5,5.4,8.8,6.8,7.5
SUP-062,7.8,3.9,6.7,7.3,7.8,8.2,5.4,6.6
SUP-063,5.8,6.5,9.4,8.0,4.9,8.4,3.2,4.1
SUP-064,5.0,3.5,6.2,7.4,5.3,8.0,8.3,6.6
SUP-065,8.8,7.9,4.1,7.8,7.9,7.0,7.9,4.0
SUP-066,8.8,7.9,4.5,6.8,8.4,8.8,6.6,4.7
SUP-067,5.9,5.6,5.8,4.6,4.9,10.0,6.8,6.4
SUP-068,8.0,9.7,4.1,7.3,8.7,8.5,8.1,6.6
SUP-069,6.6,7.1,6.9,9.2,7.5,8.7,6.8,3.6
SUP-070,5.9,6.4,7.0,8.6,5.6,9.2,7.9,8.1
SUP-071,7.6,7.5,4.5,8.7,7.6,7.2,6.1,7.1
SUP-072,10.0,9.8,5.3,9.0,8.6,10.0,8.5,4.6
SUP-073,7.1,7.0,5.5,7.6,6.8,8.7,7.0,2.9
SUP-074,9.2,8.1,5.3,7.7,9.2,10.0,6.8,5.7
SUP-075,3.5,4.1,8.2,6.8,6.1,7.8,4.6,5.1
SUP-076,7.1,7.7,4.9,7.1,6.0,10.0,6.9,6.2
SUP-077,7.2,5.6,7.3,8.2,8.7,9.3,5.3,5.3
SUP-078,6.9,6.1,4.9,8.9,7.9,9.1,5.5,2.0
SUP-079,6.4,8.6,6.4,7.3,6.7,8.7,5.3,5.2
SUP-080,4.6,4.9,8.8,7.0,6.3,8.3,4.9,5.4
SUP-081,6.8,6.3,5.8,7.5,7.2,9.7,9.7,7.3
SUP-082,7.3,7.2,4.2,8.2,7.7,8.6,8.5,4.6
SUP-083,9.5,8.9,5.1,5.8,9.5,6.5,9.4,9.4
SUP-084,7.4,8.3,6.3,4.7,8.6,7.4,4.7,2.2
SUP-085,5.9,6.2,6.2,6.8,7.0,8.3,6.6,8.6
SUP-086,6.4,6.7,5.6,6.0,5.7,8.8,4.6,5.6
SUP-087,8.1,9.4,4.5,6.9,6.8,8.4,5.5,7.7
SUP-088,7.1,7.7,5.7,7.3,6.9,9.7,5.1,6.2
SUP-089,6.6,5.9,7.2,7.0,5.8,6.5,8.4,8.3
SUP-090,7.3,7.6,5.1,9.2,7.3,8.6,5.9,5.2
SUP-091,7.2,7.1,6.7,7.9,8.4,6.7,8.1,3.8
SUP-092,8.2,8.4,7.6,7.9,7.8,9.3,7.4,8.8
SUP-093,6.2,6.7,6.1,8.2,6.1,8.4,10.0,5.8
SUP-094,6.7,6.6,5.2,6.1,6.7,8.9,4.3,6.4
SUP-095,6.9,7.1,8.6,8.7,7.8,7.6,8.4,8.5
SUP-096,4.5,4.7,8.4,7.4,2.3,9.8,8.2,3.9
SUP-097,7.3,7.5,4.8,8.3,6.7,9.5,5.0,7.2
SUP-098,6.9,5.4,3.4,6.2,7.1,9.1,8.0,4.8
SUP-099,6.8,7.9,5.7,5.6,8.0,8.4,7.0,5.7
SUP-100,6.8,7.0,6.7,8.5,6.3,9.1,6.2,6.1
SUP-101,5.3,5.9,7.5,8.0,3.4,7.8,5.3,3.0
SUP-102,5.9,3.5,4.8,6.4,6.5,9.4,5.4,4.4
SUP-103,6.9,8.6,6.8,6.5,6.3,10.0,9.6,8.7
SUP-104,6.5,5.7,7.5,8.9,5.3,9.6,6.5,7.8
SUP-105,7.0,7.9,6.4,6.1,6.3,7.8,7.7,5.9
SUP-106,8.5,6.6,6.2,9.5,8.4,8.9,5.3,6.5
SUP-107,9.4,10.0,3.5,6.4,8.8,7.2,5.3,5.4
SUP-108,6.6,6.2,3.9,8.3,4.4,9.1,8.1,8.7
SUP-109,6.5,6.8,5.1,7.1,7.4,9.0,4.5,5.6
SUP-110,7.6,8.8,6.1,8.2,8.9,6.6,5.9,6.5
SUP-111,4.4,3.9,8.2,6.8,5.1,7.3,6.6,8.3
SUP-112,6.9,7.2,7.3,7.3,5.8,8.2,6.7,4.4
SUP-113,7.2,8.0,4.8,7.5,7.0,8.2,6.2,9.1
SUP-114,9.4,10.0,3.6,6.3,9.4,7.3,7.1,2.9
SUP-115,7.9,6.9,6.1,8.4,8.5,8.9,7.5,9.3
SUP-116,7.5,7.8,2.2,6.9,8.2,8.8,7.6,5.3
SUP-117,7.0,9.4,5.5,7.2,6.3,8.3,5.0,5.5
SUP-118,5.6,5.2,7.8,6.3,5.7,7.7,6.1,2.2
SUP-119,9.0,8.9,4.9,4.4,9.4,9.5,8.3,5.1
SUP-120,8.2,9.2,3.8,7.3,9.7,10.0,7.8,3.9
SUP-121,7.8,9.3,4.7,10.0,8.5,8.0,4.4,4.8
SUP-122,5.9,6.8,8.2,8.4,6.7,7.9,7.0,5.7
SUP-123,10.0,9.7,3.3,7.5,10.0,9.0,3.5,7.9
SUP-124,5.6,3.8,8.0,7.2,7.0,8.1,6.6,6.4
SUP-125,8.7,9.5,3.2,7.5,9.1,8.4,9.3,6.6
SUP-126,9.7,8.9,2.4,8.2,8.9,9.2,5.1,3.8
SUP-127,5.0,5.8,7.3,6.1,6.4,6.6,5.2,4.2
SUP-128,6.1,5.4,5.1,8.8,6.8,9.8,7.6,9.6
SUP-129,7.2,7.1,5.6,8.4,6.7,8.6,4.2,4.5
SUP-130,6.8,6.6,5.5,8.4,6.3,8.1,5.6,9.3
SUP-131,3.8,5.0,7.0,8.0,4.1,8.4,7.4,5.5
SUP-132,7.9,7.5,6.5,7.5,8.3,8.5,5.5,6.0
SUP-133,5.3,7.0,7.6,8.3,5.5,6.8,6.1,8.1
SUP-134,7.5,8.2,4.2,8.2,7.8,10.0,7.6,8.5
SUP-135,5.1,5.4,7.1,7.1,6.8,8.5,7.1,5.8
SUP-136,8.5,10.0,4.4,6.8,9.6,8.9,6.9,5.2
SUP-137,6.2,7.0,7.6,7.6,6.4,9.5,6.0,5.9
SUP-138,6.6,5.3,5.7,9.4,7.5,7.5,7.1,6.7
SUP-139,7.6,8.8,2.8,6.0,6.5,9.0,6.3,7.8
SUP-140,4.5,5.9,8.2,5.7,4.9,8.2,7.2,6.0
SUP-141,7.2,7.0,5.5,7.7,9.0,9.3,5.8,7.2
SUP-142,9.8,10.0,2.9,7.6,9.6,6.4,6.2,9.3
SUP-143,4.5,4.4,7.6,7.7,3.6,8.4,5.0,6.8
SUP-144,6.5,7.4,5.1,7.8,5.9,7.9,6.4,6.6
SUP-145,7.3,7.2,6.5,7.2,6.2,8.9,5.3,3.0
SUP-146,8.0,8.2,4.4,9.3,7.3,9.0,4.8,1.0
SUP-147,3.8,4.0,7.3,5.6,3.4,7.8,6.9,6.8
SUP-148,5.0,3.6,6.2,6.5,3.6,7.8,6.8,5.8
SUP-149,7.7,9.4,4.0,7.4,7.7,8.4,7.7,5.0
SUP-150,7.8,6.6,2.8,5.5,8.7,7.6,5.9,6.5
SUP-151,8.3,6.4,4.9,7.3,7.4,9.3,7.1,5.9
SUP-152,8.1,5.4,5.0,9.5,9.6,8.1,7.3,8.3
SUP-153,5.8,5.3,6.3,7.5,6.4,5.6,7.2,6.2
SUP-154,6.8,6.0,5.8,7.8,7.8,8.1,5.3,4.5
SUP-155,8.7,9.1,5.1,6.0,8.1,7.5,6.7,8.0
SUP-156,6.0,6.9,6.8,6.8,6.8,6.9,7.0,5.6
SUP-157,9.8,9.1,3.5,7.0,8.7,7.3,6.5,7.1
SUP-158,7.7,10.0,3.9,7.1,8.6,8.6,3.4,5.0
SUP-159,5.3,6.2,8.1,9.0,5.5,9.8,6.7,4.7
SUP-160,7.9,7.7,3.9,8.2,8.5,8.8,9.8,6.2
SUP-161,5.3,3.0,5.5,6.2,4.1,7.9,6.0,6.0
SUP-162,7.9,10.0,5.0,7.8,7.0,9.0,5.4,7.0
SUP-163,8.7,7.3,6.6,8.1,9.3,8.0,7.1,5.5
SUP-164,5.5,4.1,7.3,8.9,4.5,7.8,7.0,2.3
SUP-165,8.1,9.5,3.4,9.4,8.6,7.3,8.3,5.1
SUP-166,7.7,10.0,5.3,6.3,6.3,6.7,4.6,7.6
SUP-167,8.1,9.6,5.8,6.5,9.0,8.1,7.6,5.4
SUP-168,10.0,10.0,4.1,6.0,8.8,8.7,7.4,5.5
SUP-169,5.3,7.2,5.2,7.2,5.9,8.4,6.3,8.0
SUP-170,6.4,6.7,6.1,8.1,7.0,8.1,7.0,4.6
SUP-171,6.3,6.4,7.0,8.7,5.6,7.6,8.0,2.9
SUP-172,4.7,6.1,7.0,7.4,5.3,9.1,7.8,5.7
SUP-173,6.7,7.0,6.2,7.1,7.0,7.2,4.8,5.0
SUP-174,7.3,7.4,6.3,7.7,6.8,9.3,7.7,4.1
SUP-175,6.7,6.7,3.8,6.5,5.7,7.5,6.4,5.6
SUP-176,7.9,8.0,5.1,10.0,5.9,7.7,6.6,7.0
SUP-177,6.5,5.3,4.5,5.6,6.8,7.0,6.6,6.0
SUP-178,10.0,9.1,2.6,7.7,8.4,8.0,6.3,6.6
SUP-179,7.1,5.6,5.0,9.9,7.2,9.5,8.3,9.6
SUP-180,10.0,8.9,3.9,7.5,9.7,9.0,6.4,5.3
SUP-181,8.3,8.1,4.6,7.3,9.0,9.5,4.8,6.6
SUP-182,5.1,7.1,6.7,7.1,4.8,9.0,5.9,5.0
SUP-183,5.1,6.3,7.9,7.3,4.8,7.4,6.8,4.3
SUP-184,8.0,6.2,4.9,9.1,8.7,8.2,8.3,4.8
SUP-185,6.1,5.7,7.2,4.8,6.4,7.7,7.4,5.0
SUP-186,8.4,9.0,3.8,9.3,8.7,9.8,5.2,6.7
SUP-187,7.6,6.7,5.7,5.8,8.1,7.3,10.0,10.0
SUP-188,6.7,6.7,5.6,7.2,5.2,9.4,6.9,4.6
SUP-189,6.1,6.3,6.4,7.0,6.8,9.4,8.4,5.2
SUP-190,4.9,3.8,7.7,8.2,5.6,10.0,6.3,5.9
SUP-191,6.1,6.4,5.7,5.6,5.1,8.1,7.3,6.8
SUP-192,8.9,7.0,5.3,8.1,8.6,9.2,7.8,6.5
SUP-193,6.8,6.7,4.6,9.9,6.7,10.0,8.3,8.6
SUP-194,5.4,5.5,8.5,5.9,5.3,7.9,8.1,1.1
SUP-195,7.6,5.7,5.4,7.7,7.9,7.0,7.8,1.2
SUP-196,7.4,8.0,3.4,6.7,8.9,6.6,6.0,5.0
SUP-197,5.8,5.7,7.7,8.0,6.9,9.2,5.6,8.2
SUP-198,6.6,7.8,6.3,7.5,5.3,6.6,7.0,2.9
SUP-199,7.5,7.3,5.2,6.7,8.2,8.1,7.9,1.0
SUP-200,5.2,6.6,6.9,8.1,6.5,8.9,6.2,7.1
SUP-201,7.3,7.7,5.0,9.7,7.7,8.7,8.1,6.5
SUP-202,8.4,7.4,4.6,7.3,9.5,8.9,8.7,3.8
SUP-203,8.3,8.7,3.9,8.4,10.0,8.7,5.1,4.0
SUP-204,7.9,9.1,3.5,5.9,8.9,9.8,5.2,4.1
SUP-205,4.2,5.0,6.9,6.4,4.4,7.5,6.3,6.2
SUP-206,5.9,5.6,7.0,8.1,6.9,7.8,7.0,4.7
SUP-207,7.1,7.1,4.5,9.3,7.3,7.7,5.7,7.0
SUP-208,8.6,7.1,3.3,7.9,8.7,9.3,8.5,1.0
SUP-209,6.7,6.4,5.3,7.1,6.4,9.4,7.1,4.3
SUP-210,10.0,10.0,4.5,7.5,10.0,9.0,6.6,3.7
SUP-211,8.0,6.6,4.0,6.0,7.1,9.7,4.3,5.5
SUP-212,8.7,8.0,4.6,8.2,10.0,7.3,4.5,4.9
SUP-213,8.2,7.7,6.8,8.6,8.7,10.0,6.9,7.6
SUP-214,8.2,8.9,4.2,7.0,6.8,10.0,3.3,2.3
SUP-215,6.5,6.2,6.6,6.9,6.9,9.2,8.0,6.1
SUP-216,8.7,9.4,5.0,7.8,6.6,10.0,6.3,7.1
SUP-217,5.9,5.2,6.3,7.0,6.5,6.8,10.0,9.7
SUP-218,6.7,6.9,5.8,7.4,7.6,8.0,10.0,5.0
SUP-219,6.1,5.4,5.6,10.0,5.5,7.8,6.2,6.6
SUP-220,7.1,9.3,6.1,7.2,7.2,9.2,6.3,2.4
SUP-221,10.0,8.8,3.0,7.1,10.0,7.4,8.0,1.2
SUP-222,3.3,4.5,8.1,6.7,2.8,9.3,9.1,7.7
SUP-223,7.4,8.7,4.2,8.4,6.3,9.9,4.0,6.0
SUP-224,5.0,5.0,6.9,7.3,6.4,9.2,3.8,8.4
SUP-225,6.4,6.1,7.2,6.7,8.3,8.8,5.6,3.3
SUP-226,8.5,8.5,3.4,9.1,8.5,7.5,7.4,7.0
SUP-227,7.1,7.1,6.2,9.2,8.1,7.7,7.2,9.7
SUP-228,5.6,5.2,6.2,6.8,6.9,9.7,8.1,6.8
SUP-229,5.7,6.9,6.2,5.3,4.9,9.3,4.7,6.6
SUP-230,7.6,10.0,3.1,8.7,7.1,8.5,3.0,6.0
SUP-231,6.0,5.3,6.8,6.7,7.2,8.1,7.8,2.9
SUP-232,6.8,6.0,5.9,8.4,8.5,6.5,5.3,8.7
SUP-233,7.3,7.0,5.7,5.1,7.8,7.4,3.5,4.8
SUP-234,5.2,8.6,6.8,8.6,4.3,10.0,6.7,7.0
SUP-235,10.0,9.2,2.7,6.0,10.0,7.2,7.7,2.9
SUP-236,8.2,9.6,6.7,8.4,7.7,8.7,6.3,3.6
SUP-237,4.1,5.6,9.1,7.5,3.8,9.5,5.8,8.9
SUP-238,7.8,6.7,6.6,6.4,8.1,7.2,6.3,5.3
SUP-239,6.8,6.6,5.5,7.0,8.4,8.7,5.9,8.9
SUP-240,8.8,9.9,3.1,8.3,9.6,9.4,4.5,5.8
SUP-241,4.9,5.4,6.7,7.6,5.3,8.5,5.4,2.3
SUP-242,6.2,6.6,6.0,8.2,6.7,10.0,7.3,7.8
SUP-243,7.4,7.2,5.1,9.9,7.5,6.8,7.0,4.8
SUP-244,8.3,7.3,3.6,5.6,8.9,9.6,6.8,7.4
SUP-245,5.5,4.6,8.0,9.4,2.9,8.3,5.0,6.1
SUP-246,6.1,5.3,5.9,7.6,5.8,9.3,6.2,2.9
SUP-247,6.4,6.3,5.3,6.4,6.6,8.9,3.2,6.3
SUP-248,5.6,5.3,6.0,5.9,4.5,7.8,6.8,10.0
SUP-249,9.3,9.9,3.6,7.3,9.7,8.7,8.6,7.0
SUP-250,6.9,6.1,4.3,8.6,6.7,6.6,4.3,5.9
SUP-251,4.6,5.4,9.9,7.3,6.4,9.1,5.6,8.2
SUP-252,7.7,9.2,4.0,9.3,9.3,8.8,7.0,6.4
SUP-253,9.5,8.0,4.2,5.8,9.0,9.1,8.4,6.4
SUP-254,9.1,8.9,6.4,7.5,8.9,9.6,5.8,3.8
SUP-255,4.2,5.9,6.9,6.0,4.2,8.9,5.5,6.5
SUP-256,7.6,5.1,4.9,7.9,7.1,8.6,3.5,8.1
SUP-257,9.1,10.0,4.5,8.6,9.3,7.6,6.7,4.3
SUP-258,6.0,6.4,5.6,7.0,5.3,7.8,9.6,8.8
SUP-259,7.2,7.0,3.6,4.4,6.1,9.7,6.9,5.8
SUP-260,8.5,8.1,3.6,7.7,9.1,9.9,6.5,4.2
SUP-261,5.3,6.2,5.2,8.0,6.0,8.3,7.0,8.0
SUP-262,7.0,7.0,5.1,8.0,6.2,8.5,6.5,5.4
SUP-263,3.4,2.7,9.3,9.0,4.3,7.6,5.3,7.5
SUP-264,5.4,4.5,8.5,6.2,4.8,9.7,7.7,5.4
SUP-265,7.2,6.8,6.3,8.3,7.4,9.2,6.8,5.9
SUP-266,4.8,3.7,8.0,8.9,5.6,10.0,6.5,7.0
SUP-267,9.4,9.3,1.7,5.4,9.4,7.6,5.0,6.6
SUP-268,5.7,4.0,7.5,7.9,6.2,8.1,8.5,2.0
SUP-269,6.0,5.6,6.1,6.9,5.5,8.7,7.5,3.8
SUP-270,8.1,8.4,5.1,7.4,7.9,9.1,5.7,7.9
SUP-271,9.5,10.0,4.1,7.9,9.3,8.3,8.0,5.7
SUP-272,4.6,5.5,5.7,6.9,3.8,7.6,5.8,5.0
SUP-273,9.1,7.7,5.1,6.7,8.9,9.4,5.3,3.3
SUP-274,7.5,6.7,5.5,7.5,6.0,9.2,5.4,3.8
SUP-275,5.8,6.7,7.6,6.2,5.3,7.6,3.8,2.0
SUP-276,6.9,7.8,6.6,6.2,6.6,9.9,7.2,5.8
SUP-277,6.9,9.6,6.1,8.3,6.7,9.7,3.8,4.8
SUP-278,6.0,6.5,6.5,6.1,5.7,8.6,4.7,4.1
SUP-279,7.1,7.3,6.1,8.3,7.0,8.6,3.4,5.9
SUP-280,6.7,6.1,6.9,8.1,7.2,9.1,6.4,6.7
SUP-281,7.3,7.3,7.0,5.4,8.1,7.6,6.3,10.0
SUP-282,7.3,7.8,5.1,6.7,6.7,8.5,6.0,3.0
SUP-283,9.6,10.0,5.5,8.9,8.4,6.3,4.9,8.3
SUP-284,5.4,6.1,6.4,6.3,4.4,9.4,4.7,7.9
SUP-285,10.0,9.2,3.4,6.9,9.5,6.9,7.2,4.4
SUP-286,4.6,2.7,9.4,8.1,4.3,10.0,5.7,6.4
SUP-287,7.2,4.9,6.2,8.4,6.4,8.2,7.0,5.1
SUP-288,8.1,8.4,5.8,7.2,6.8,8.3,5.2,6.4
SUP-289,7.4,6.3,5.1,6.8,6.9,7.9,6.8,9.0
SUP-290,5.2,3.9,5.1,9.2,5.4,8.2,8.5,7.2
SUP-291,6.9,7.1,7.9,9.6,7.5,9.9,7.4,7.0
SUP-292,6.4,8.8,6.2,8.7,5.8,6.0,5.9,5.1
SUP-293,6.3,6.1,6.6,7.6,5.8,9.8,6.9,3.0
SUP-294,7.6,9.1,4.1,6.5,6.7,8.8,6.1,5.6
SUP-295,7.0,7.6,5.1,6.5,7.0,7.3,6.5,8.4
SUP-296,6.5,5.9,7.3,8.1,5.6,7.4,6.0,2.9
SUP-297,8.3,9.3,5.1,8.0,8.9,10.0,6.3,3.9
SUP-298,7.8,7.2,6.2,9.2,6.0,7.6,6.8,6.3
SUP-299,8.2,8.5,3.8,8.3,7.9,7.3,5.0,4.0
SUP-300,8.0,8.3,5.0,5.7,8.3,9.6,5.0,4.4
SUP-301,6.2,5.1,4.8,8.8,6.4,8.8,4.4,5.2
SUP-302,5.9,7.2,6.4,6.3,8.6,7.6,4.1,3.3
SUP-303,8.2,7.9,5.6,7.0,8.5,8.7,4.7,4.1
SUP-304,7.7,7.2,6.6,7.8,6.7,7.5,6.7,7.4
SUP-305,6.8,7.5,7.6,9.9,6.7,9.6,5.2,3.4
SUP-306,7.0,6.3,7.2,10.0,5.2,9.6,7.3,2.8
SUP-307,9.0,8.9,4.0,8.2,8.9,9.0,6.6,4.7
SUP-308,5.9,6.1,5.9,7.3,5.0,8.9,3.5,7.5
SUP-309,8.4,8.9,6.7,8.1,9.4,10.0,7.5,5.6
SUP-310,6.2,7.2,5.1,8.6,5.7,8.5,7.7,5.1
SUP-311,6.6,6.6,6.5,7.1,6.5,7.3,5.0,6.1
SUP-312,8.4,9.5,4.4,9.7,7.8,8.9,7.1,2.5
SUP-313,9.0,9.6,3.2,7.8,10.0,10.0,5.2,7.0
SUP-314,8.3,8.8,3.9,8.1,8.0,7.5,6.6,6.8
SUP-315,9.5,9.0,4.5,8.3,10.0,8.1,4.6,5.2
SUP-316,6.3,5.7,6.6,8.0,7.1,8.9,3.8,8.0
SUP-317,8.2,7.0,7.1,8.5,8.6,8.4,5.9,3.7
SUP-318,7.0,6.2,6.8,6.8,7.3,7.5,6.3,8.3
SUP-319,7.5,6.9,5.6,6.8,7.9,9.6,5.9,6.3
SUP-320,7.3,6.6,6.9,6.2,5.4,10.0,4.7,5.3
SUP-321,6.9,7.2,5.8,8.0,6.6,8.7,5.9,6.0
SUP-322,8.6,8.4,5.0,8.4,9.4,7.6,6.9,5.8
SUP-323,6.9,5.7,6.9,8.0,6.9,7.0,6.4,8.4
SUP-324,9.8,10.0,4.2,9.5,8.4,8.8,6.8,3.8
SUP-325,5.3,5.6,6.7,7.5,5.2,9.6,5.5,4.5
SUP-326,5.9,3.2,6.7,8.3,7.6,9.0,8.3,8.1
SUP-327,9.5,7.8,5.5,6.2,10.0,8.5,4.7,4.8
SUP-328,7.9,8.0,3.4,7.0,7.9,7.9,7.2,7.8
SUP-329,7.7,6.7,5.1,8.3,8.7,7.4,8.3,9.4
SUP-330,7.8,8.5,5.0,8.5,7.4,9.3,7.2,5.2
SUP-331,6.3,8.5,5.1,7.1,4.6,9.4,6.2,7.4
SUP-332,5.2,6.9,6.5,7.4,4.3,7.0,5.7,3.7
SUP-333,6.6,6.9,4.7,5.7,8.2,10.0,8.1,7.5
SUP-334,5.6,7.5,6.2,7.1,5.3,9.1,4.4,6.4
SUP-335,8.4,8.6,5.3,8.6,8.2,9.9,5.0,6.9
SUP-336,6.9,6.4,5.6,8.2,6.6,7.2,5.9,4.7
SUP-337,6.5,5.1,7.8,8.1,8.4,7.1,8.4,2.7
SUP-338,6.0,6.2,6.0,7.6,7.6,8.4,7.1,7.0
SUP-339,8.1,7.2,5.3,7.5,10.0,9.0,5.0,1.9
SUP-340,6.0,6.3,6.6,6.7,5.9,10.0,6.0,5.4
SUP-341,5.7,5.9,6.8,8.3,6.0,9.2,5.6,7.9
SUP-342,7.7,7.4,7.4,8.0,6.2,8.3,5.4,6.4
SUP-343,6.8,7.8,6.0,8.1,8.3,7.5,8.0,9.9
SUP-344,6.4,7.4,6.2,6.9,5.3,9.7,4.4,8.1
SUP-345,6.4,7.2,6.1,4.9,6.6,7.5,8.9,4.7
SUP-346,7.6,5.9,6.5,8.8,6.5,10.0,7.7,6.1
SUP-347,5.0,2.3,6.1,6.9,4.4,8.2,8.1,5.9
SUP-348,6.1,5.8,8.2,6.5,5.3,10.0,5.8,2.8
SUP-349,5.6,4.6,5.6,8.3,5.0,9.2,6.3,4.1
SUP-350,6.4,6.5,5.6,7.0,5.9,8.4,4.4,4.9
SUP-351,7.2,6.3,6.0,8.8,6.6,8.0,5.7,1.9
SUP-352,8.9,7.4,2.3,8.2,9.8,8.2,7.2,6.1
SUP-353,8.0,8.8,6.0,8.3,6.9,8.9,8.4,5.5
SUP-354,7.4,7.5,5.0,5.9,7.6,8.6,4.8,2.7
